text,time
"I don't care about the Olympics, since the viewing rights are not freely available in my country, but rather tied up in expensive exclusive license agreements.",2022-01-31
This situation has happened in traditional skiing countries many times in last 50 years.,2022-01-31
Using snow making machines is common in ski resorts... but not on this scale. It's on a nature reserve and this area rarely receives snow. Compare this to games held in Utah... they actually receive real snow in the winter.,2022-01-31
This is BSB reporter. I'm here inside the Beijing Olympics Village. This is the village where American athletes will be staying.  I am here with the Manager of the Village Planner Officer.,2022-03-02
Just gives peace to the olympics,2022-03-02
"Spectacular! It's a magical world out there. Salute to the workers and organizers who made it possible.  It's the moment of the athletes to shine and show their best. Beautiful ceremony despite the pandemic. A time of unity, PEACE and LOVE.",2022-03-02
Just a fantastic Olympics  ! ,2022-03-02
I click in for an Olympic sports report. You guys are incredible.,2022-03-02
Always well organized. Amazing,2022-03-02
Spectacular opening ceremony!  We have a Uyghur girl to light the Olympic torch in the ceremony!  Advanced technologies are everywhere in the game.  China demonstrates great hospitality to all guests.  Enjoy the wonderful games! ,2022-03-02
"politicizing sports or cultural events would probably delivery the strongest opposition front that some countries would hate to see, but it is happening.",2022-03-02
"Ridiculously funny reports like this just kept going on and on, one after another, and no rest. I'm so sad to see this happening.",2022-03-02
"Wow. you guys are genius, can turn everything into politics, please tell us something how native Indians were genocided from America.",2022-03-02
It's great opening ceremony!,2022-03-02
"Whoever built china olympic 2022 opening cermony, they're so creative",2022-03-02
Extraordinary and meaningful opening,2022-03-02
"It's beautiful and the host country should be very proud. It's sad that people in this country and the west still have the audacity to throw accusations about how the host country manages their own affairs with a complete disregard of what happened in this country and the world (the death from the pandemic, crimes & violence plus guns, racial bias, poverty & homelessness , and the millions of Muslim killed  or forced to be refugees in Iraq, Afghanistan and the mid east caused by these pathetic wars).",2022-03-02
"The boycott countries sent the most athletes to China. Out of 272 western reports on Beijing game.212 is related to human rights concern. Media manipulation is a series of related techniques in which partisans create an image or argument that favours their particular interests. Such tactics may include the use of logical fallacies, manipulation, outright deception(disinformation), rhetorical and propaganda techniques, and often involve the suppression of information or points of view by crowding them out, by inducing other people or groups of people to stop listening to certain arguments, or by simply diverting attention elsewhere.",2022-03-02
The US and west can get so low so as to politicise even a global friendly event like olympics..,2022-03-02
Why I can’t seem to find the full version of the opening ceremony?  I just want to watch the creativities and the arts/designs used in this ceremony,2022-03-02
Uyghur athlete delivers final Olympic flame in Beijing opening ceremony,2022-03-02
"YouTube can not watch Olympic Live, America is afraid of China ！ Hahaha",2022-03-02
"The world is not made up of a few countries who want to politicise the games. They just show their small minds, including the presenters of this program.",2022-03-02
"The logic is weird. Do a normal person feel justified to checkout their neighborhood’s bedroom when they don’t want to show?  And when the neighbors want to show friendly,  they chooses not to see and think that’s fake?  Well,  even if I had a suspicious neighbor,  I would keep my mouth shut, pretend people are just friendly and let the authorities to do their work.",2022-03-02
This is going to be one of the most hi-tech Olympic in history.,2022-01-31
I wanted to see more of the robots in action :(,2022-01-31
I need one of those robots at my home,2022-01-31
Actually I was not a fan of robot waiters but this one has got the point,2022-01-31
This makes perfect sense and will help to ensure that infections can't be spread.  Excellent idea and helps to keep everybody safe.,2022-01-31
Love to see ,2022-01-31
Wow ,2022-01-31
I want robot that makes burgers for me. Love this ,2022-01-31
This should become the standard for future Olympics games and similar international events for as long as Covid lasts!,2022-03-02
I've always wanted to do something like this but with miniature trains ,2022-01-31
More advanced than of that Tokyo Olympics.,2022-03-02
"The robot restaurant in the Winter Olympic Village has attracted many foreign athletes. In fact, robot restaurants have been popular in Chinese cities for several years.",2022-03-02
So calm n and unassuming.. They took responsibility to host n spends huge efforts for the safety of the athletes and their own people.,2022-01-31
"They are too fast in everything, wow. Japanese and Chinese people are living in the future. Actually I'm impressed.",2022-01-31
I need one in my house.,2022-01-31
Respect to china and how they are using the advantage of A.I in full scale. The future is for science and not religion anyway love from another asian from Arunachal Pradesh ,2022-01-31
I was like tham thats fking awesom then I read robots are also doing the cooking. I cant imagine this world in 100 years end me.,2022-01-31
I pretty much like this reporter. She's smiling and different from those cold hearted mainstream media junks.,2022-03-02
"I think they're doing a great job, can't imagine if athletes get covid since they're all living in the village, and they couldn't participate in their games, that'll be so terrible, olympics is only happening once in four years and they had gone through many evaluations to be qualify.",2022-03-02
"this one is not bad, at least this one shows some good sides of the beijing olympic instead of talking bullsh!t politics",2022-03-02
"Looks like good, old-fashioned, wholesome fun.",2022-03-02
Have a great time in China. Best wishes from America.,2022-03-02
Great video! You are so pleasant!,2022-03-02
Seriously? A new phone and new laptop? Anyway it's a good thing to have something new.,2022-03-02
"""...hazmat suits to COVID tests to chef robots..."" so let's ",2022-03-02
"Now THAT was a heartwarming welcome !!  Christ, it's like you're entering the operating theatre at Mt. Sinai !!",2022-03-02
4:14,2022-03-02
"So if that bar tending robot tests positive, will it have to quarantine?",2022-03-02
Despite all the economic crisis this is the right time to start up an investment,2022-03-02
"Look like lot of fun ... robot got to do covid test too, hahaha so funny",2022-03-02
"So basically, everything's awesome, except the paranoid bit about the Chiense govt watching EVERY MOVE YOU MAKE ONLINE ONCE YOU ENTER THE COUNTRY.",2022-03-02
😱,2022-03-02
Oh that sounds like such a fun vacation ,2022-03-02
I call on the USA athletes and journalists to abide by the pandemic control measures while they are in China. Wear your masks properly,2022-03-02
"Best of luck to you, you'r all gonna need it to escape there when SHTF. I'm praying for you all to get home safely. If you get put in the tiger chair just remember to breath and pray.",2022-03-02
Best part is how casually we all accept the Chinese government spying ... And keep it moving lol,2022-03-02
I feel like this Olympics is just.....,2022-03-02
The title of this video should have been: None of the winter Olympic sponsors willing to quit. BBC just cares about clicks like these sponsors cares about sales.,2022-03-02
"Life goes on, with or without the sponsors or msms. Give athletics a good sense of being athletics for the nation's glory.",2022-03-02
Keeping Quiet is the worst you can do. ,2022-03-02
118K views and a mere 1200 likes? BBC has fallen from grace,2022-03-02
"For those who refuse to watch the Olympics games, don’t worry, the games will be unwatchable anyway. NBC will broadcast the games in 480p resolution video, will use grey filters for all scenery and will use Photoshop program to make images grey.",2022-03-02
"""The official worldwide partners of the Olympics are Airbnb, Alibaba, Allianz, Atos, Bridgestone, Coca-Cola, Intel, Omega, Panasonic, Procter & Gamble, Samsung, Toyota, and Visa""~BBC",2022-03-02
Boycott for what? 34 United States officers secretly applied Chinese Visa even though they had announced “diplomatic boycott”.,2022-03-02
well despite the brands not actually pulling out(because they care about Chinese money rather than human rights) it's good news they are now avoiding to much public connection with China.,2022-03-02
Chinese brands and the digital yuan gain massive international publicity during the winter Olympics.  Repressive political boycott action is making most global brands unhappy as they accelerate loss of international market share. ,2022-03-02
They say all kinds of wonder values but when push comes to shove they don't want to offend China....As the old adage goes...talk is cheap.,2022-03-02
Sounds like a good opportunity. Some countries offer big rewards for getting Olympic medals.,2022-03-02
This is BSB News reporter. I'm here inside the Beijing Olympics Village. This is the village where American athletes will be staying.  I am here with the Manager of the Village Planner Officer.,2022-03-02
"USA and its allies like Britain doesn't have the guts to boycott the game, talk is cheap lol ",2022-03-02
US is pulling them to limit their brand as local brands from present recognition as global brands...good... ,2022-03-02
The only part of these corrupt games I'll view is the list of sponsors to know whose products to boycott!,2022-03-02
Lets the US athletes and other part nations  tell the story when they are back from the  Winter Olympic  games,2022-03-02
"I firstly read ""quit"" , then realize it is quiet ?   What is wrong of staying quiet ?",2022-03-02
If it were on the basis human right abuses more than half of the countries on earth wouldve been boycotted,2022-03-02
There are still brave people with balls in this world.,2022-03-02
There is a massive elephant in the room that corporations and governments pretend isn't there but they continues to do business with it because it's all about money.,2022-03-02
What is your favorite Olympic moment of all time? Let us know in the comments below and it might be featured in the next ,2019-12-28
I’m sorry but no opening ceremony will beat this one! This was spectacular,2020-12-27
من أجمل الافتتاح في التاريخ البشرية ,2022-12-19
"effort, coordination and unity. Respect.",2022-12-18
"Even looking back 13 years later, it’s still the best Olympic opening ceremony hands down! The rich historical meaning and artistic effects are just breathtaking, no doubt the 2022 winter Olympic is going to be another spectacular one!!!",2022-01-31
"I remember that day being uninterested and in my room playing games, then i heard my mom yelling for me to ""come here and see this"". In five minutes the whole family was in the TV room watching this show. 14 years later its still mesmerizing. One of the great spectacles of our age.",2022-04-01
"This changed the Olympics opening ceremony's history. I remember watching this as a kid, figuring out how amazing the human being can be. To this year, no one has overcome the magnificity of this masterpiece.",2021-12-27
Coming here after seeing the very stunning and most human Qatar 2022 World Cup Opening Ceremony,2022-12-06
"What a wonderful event the Olympics continue to be! Today, being February 2022, with the Winter Olympics, seeing this opening again, moves me to tears! Beautiful events!",2022-03-02
"I am korean. I went to see the 2008 Beijing Olympics. It was a great experience. I felt the volume of China. At this time, there was no conflict and it was peaceful.. I miss it.",2022-12-19
"Olimpic BEIJING 2008 & ASIAN Games 2018, super Amazed... stunning... Not boring...",2022-12-13
i love this so much,2022-12-16
Dont know why I am still watching this after 14 years with tears. I was in Highschool in Beijing during that time. It was one of the most emotional moments for our generation. So proud of my country.,2022-03-02
5:58,2019-12-28
Re-watching this just before the Olympic Games Beijing 2022 opening ceremony this Friday. This was such a stunning opening ceremony!!,2022-03-02
the scale of this opening ceremony will never be matched. absolutely amazing,2022-03-02
怀念2008,2022-12-21
"Me deja sin palabras, está es la mejor ceremonía de inauguración, de lejos mi favorita",2022-07-30
"Essa foi a primeira olimpiada que me lembro, assisti quando tinha 8 anos. Não conhecia muito da cultura da China e me fez ficar maravilhada, foi emocionante reassistir depois de tantos anos e a apresentação é tão bela quanto na minha memória. Muitas felicidades do Brasil! 🇧🇷🇨🇳",2022-08-29
"This is what olympics opening should be like. Powerful but peaceful, ceremonious but cheerful.",2021-12-27
"I think the final torch was brilliant. That moment slaps me right in the face. Because as a normal person, we would think that putting a torch in the port is effortless. But it is actually not for disabled people. The fact that he keeps his spirit to make it work, with the audience cheering ""Ciayou 加油!!!"" in the background, was monumental. ",2022-04-01
The Beijing Winter Paralympics will continue the splendor of the Beijing Winter Olympics 2022. The opening ceremony is also unparalleled and wonderful. I hope that Paralympic athletes ,2022-04-01
看到盲人選手插奧運火炬那麼耗時間,2022-04-01
"Another historical sporting event. Glad to finally watch the whole ceremony. There was almost no coverage in the Western media, guess they all went home after the main event left them very little else to say about the organizers. The 2022 Beijing games held during a pandemic will forever be a landmark. Well done.",2022-04-01
Beautiful Beijing Paralympic Winter Olympic Games Opening Ceremony ,2022-04-01
Wow! Spectacular! No less than the Winter Olympics opening! Good job Beijing! All the best to the athletes!,2022-04-01
The music chosen for the athletes' entrance ceremony includes,2022-04-01
"What a gorgeous display of human perseverance and achievement! Well done China, beautifully done! I am so excited for the coming age of your country leading the world forward!",2022-04-01
"It’s a very touching moment seeing Spain athletes hug each other when they walking in.I can feel the excitement for them , they’re real inspirations and I wish them the best of luck! Love the last moment as well. As the Chinese saying goes one can conquer their own destiny.  Life is tough but never never never give up and fight back like a warrior. Be strong!",2022-04-01
在場邊跳著歡迎舞的小姐姐們小哥哥及可愛的雪融融們值得稱讚，他/她們為開幕儀式添了喜樂氣氛,2022-04-01
Such a great ceremony! ,2022-04-01
First time watching the winter games opening ceremony and it was awesome! wishing the best to all athletes~,2022-04-01
Find your country here:,2022-04-01
祝贺所有运动员们！你们永远都是我们心中的英雄和生活中学习的榜样！,2022-04-01
Sangat luar biasa opening termewah dan megah congratulation Beijing ....,2022-04-01
Wow! 2022 Winter Olympic Games + Paralympic Winter Games in a row! Proud of Beijing and Chinese people! Way to go!,2022-04-01
"Gostei dessa abertura, esse competidor que colocou a tocha na pira olímpica nos surpreendeu, mesmo esses atletas terem uma necessidade especial são capazes de tudo na vida, desejo tudo de bom a eles e continuem vencendo.",2022-06-30
"Hermosa ceremonia. Saludos desde Colombia, Santa Marta🇨🇴",2022-04-01
Another spectacular ceremony..salute and applause to all who made this happened!,2022-04-01
"Ok, I was full on crying when the athletes for Ukraine came out! I have to say that the music that played for them was perfect. Such a moving moment!",2022-04-01
Well the Low for me is when Nathan won gold medal for US but the US media claimed American Asians are overrepresented... ,2022-03-02
The fact she repeated the trick that cost her gold years ago... was great to see how she'd not be defined by her past mistakes... was cool.  Glad she won her Gold.,2022-03-02
The lows came when real snow hit Beijing not only once but twice  and ended the “Beijing doesn’t snow” myth...lol,2022-03-02
shame on Washington post,2022-03-02
It is both entertained and disgusted seeing Washington Post trying to make positive facts look negative,2022-03-02
"well, all we can hope is that IF there is a world skating competition, the russian dopers will not be allowed to compete as they have been allowed to do with impunity.    Especially as we now see what russia is doing now to eastern europe.    There have to be consequences for bad actors.",2022-03-02
Controversial? Haha,2022-03-02
controversy？？,2022-03-02
Seriously? What about controversial about proud boys and your internal matters? (Change your name to GOP post for godsake),2022-03-02
"Eileen Gu chose the controversy for the money, and we need to be clear about that. She could have easily skied for the United States and had adoring fans in her own country, avoiding all of the negative media attention.",2022-03-02
Eileen Gu choose that controversy for the money. We need to make that VERRY clear. ,2022-03-02
"News, documentaries & all the ",2022-03-02
被职场霸凌了几年都咬牙坚持下来逆袭，挺励志的故事,2022-03-02
Great Olympics from China,2022-03-02
🥰,2022-03-02
Inspiring,2022-03-02
"Seems like the biggest motivation is the wronged feeling of being robbed by unfairness. The same goes to Zhou Yang, salute.",2022-03-02
супер,2022-03-02
Never give up! She's an inspiration ,2022-03-02
I'm so touched when seeing her coaching the special kids.,2022-03-02
I’m waiting for the short track medley video.,2022-03-02
Zhu Yi has fallen!,2022-03-02
El esfuerzo tiene su gratificacion y reconocimiento ...empezar y atraer más jovenes al atletismo,2022-03-02
정당한 게임을 원하는 사람.  중국이 안나오는 경기를 보라 (ex 쇼트1500 결승 준결승 1 2 3조 비교),2022-03-02
정신나간 베이징 올림픽,2022-03-02
"Always remember, there are TWO Yang Yangs! Both were decorated short trackers and both are pioneers of winter sport in China.",2022-03-02
What is your favorite Olympic moment of all time? Let us know in the comments below and it might be featured in the next ,2019-12-28
"As a student volunteer, i had the honor to participate all the process of Beijing 2008 Olympic. I was there for the opening ceremony, and my classmates and I were so moved that we cried together. I was in charge of traffic control at the basketball arena throughout the basketball game and got to meet all the big international players in person. Looking back on it all now, I am so blessed.",2022-01-31
Its already 12 yrs after and I am still amazed by this. Best olympic opening and closing ceremony. Love from philippines🇵🇭🇨🇳,2020-12-27
Nostalgia!!!,2022-12-13
"The 2008 Beijing Summer Olympic is fulled of joy, harmony, beautiful artist, memorizing, spectacular, stunning, breathtaking.  I am so lucky to live to witness one of the Best Summer Olympic ever.  China has come along, I am so happy for China & as a Chinese regardless of where you are, we are all Descendents of Dragons.  Long Live China.................................",2019-12-28
Los mejores juegos olímpicos hasta ahora de la historia,2020-12-27
"London had a tough act to follow. The ""human tower"" performance was incredible. So much went into this ceremony. The Chinese raised the bar to another level with their opening and closing ceremonies. I think Great Britain did an incredible performance with theirs. Now, I wonder how Beijing will top this when they host the 2022 Winter Olympics.",2021-12-27
i become so emotional to see so many athletes can have fun and smile without masks. Wish the world can get well soon,2021-12-27
"The music, the culture, the vibe, just unbelievable. Amazing show from beginning to end.",2021-12-27
Gracias por subir la clausura!!!! Es tan emotiva que me retrocedió 11 años,2019-12-28
Que linda foi a Olimpíada de de Pequim!....Pra mim a mais linda de todas!,2021-12-27
Beautiful ceremony! Love from Greece!,2020-12-27
"Beijing Olympic 2008 opening and closing ceremonies remain the best I've seen!  And those were the better days - less hostility among nations.   How I wish our world could cooperate more, and we human kind need it more than ever now as we have the most pressing common problem to tackle with together - the climate change.",2021-12-27
"When Beijing hosted the Olympic, I was in Australia for a summer program right before starting high school. We, a bunch of Chinese students, lived with Australian local families at that time. ",2019-12-28
Muy emocionante el agradecimiento a los voluntarios <3 Sin ellos los Juegos no serian lo mismo.,2021-12-27
The closing ceremony was the best one! Absolutely love it.,2019-12-28
The shear amount of positivity and happiness in this is amazing!,2021-12-27
This is a excellent closing ceremony!,2021-12-27
现在2021看来，2008真的是世界各国最共荣最团结最热闹的时候了，好怀念！！！,2021-12-27
"""We are family."" Couldn't be more appropriate in the time of pandemic when all the world is ravaged by an invisible killer. More than ever, the world needs to work collectively than to do the blame game.  Quite a remarkable moment in our history. Truly one for the books. Just beautiful.",2021-12-27
"All the latest Curling news, videos and ",2022-03-02
These guys must have the cleanest floors in the world,2022-03-02
The slow and steady but incredibly precise aspect of this sport is so appealing. Really nice video,2022-03-02
Imagine how this guy's get into the sport like:,2022-03-02
"Amazing shots!  Love this sport, wish it had more coverage, not just during the olympic games.",2022-03-02
I don't understand the game. But I watch because it is actually fun. Probably it is time for me to hit the net and really understand what's happening behind this insane sport.,2022-03-02
Watched John Shuster's shot live 4 years ago.. still gives me the chills,2022-03-02
Watching this game is so easy but the effort put by them with bursted tears in their eyes was so emotional,2022-10-28
Bom demais esse jogo ! ,2022-03-02
Add eve Muirhead's amazing shot this morning to win GB 4 extra  points and the Olympic gold! Absolute perfection! Well done girls GB is proud of you!!! ,2022-03-02
I don't even know more than the basic of curling but oh my goodness ,2022-03-02
"i used to make fun of this sport, but i'm totally into it now. This sport is so fun",2022-03-02
The best floor mopping in the world. Impressive.,2022-04-01
Great concentration and talent on all those teams. Very impressive.,2022-04-01
"Her screams pushed it to the spot, amazing!!",2022-04-01
"Congratulations to Eve, Hailey, Jen and Vicky on winning gold, and to Bruce, Hammy, Bobby and Grant on winning silver.   Great end to the Beijing games for team GB.",2022-03-02
First time watching this sport and I have no idea what’s happening but it’s a beautiful sport!,2022-09-28
Not even one shot from Stefania Constantini? Her performance in the mixed double final against Norway was epic.,2022-03-02
Whatever else.. This sport is a real expression of dedication to precision and perfection.,2022-03-02
Congratulations to both the ladies and the mens curling teams... Did us all proud....2022,2022-03-02
9:29,2020-12-27
너무 멋지다 대한민국🇰🇷,2022-12-17
I'm not from Korea but I cried watching the two Korean nations march in together. It was so..............,2021-12-27
33:42,2022-03-02
"I will remember the Pyeongchang Olympics forever. Absolutely beautiful, Korea did everyone proud as a host nation. Love from Germany",2022-03-02
Очень красивая Церемония ,2022-03-02
"The Olympics in South Korea, one of my favorite Olympics.",2021-12-27
저예산 고퀄로 인정받는 것도 대단하지만 무엇보다 관심과 규모 모두 하계올림픽에 비해 상대적으로 적은 동계올림픽이 역대 최고라 평가받는 하계올림픽 개회식들과 동일선상에서 인정받고 있다는 것 자체가 대단하고 자랑스럽다,2021-12-27
"Finally! I get to watch the opening ceremony. Thank you! I always miss these ceremonies every Olympics because of the time zone.  What a great use of technology, imagination and just people involved to make a really great ceremony culminate. I would love to have been in the stadium to take it all in! My favorite part - seeing Yu Na Kim light up that torch!! I rooted for this woman all during her career! Sweet moment!",2022-01-31
33:42,2021-12-27
This is really amazing! My favorite moment was when the Queen lit up the Olympic flame! jeez that was so iconic,2022-04-01
이렇게 잘 치른 올림픽이었다니. 최악을 보니 최고가 보인다. 왜 자꾸 울컥울컥 감동이 밀려오지. 한국인인 게 자랑스럽다.,2021-12-27
1:59:27,2021-12-27
솔직히 말하면 개최지 확정됐을 때 중간에서 예산 떼어먹고 저퀄 될까봐 진짜 걱정 많이 했었는데,2021-12-27
"선수들 입장할 때 기수분들 드레스 디자인 한 번씩 바뀌는것도 이쁘고 옆에 등불들고 가는것도 이쁘고, 뒤에서 계속 춤추시는분들 동작도 음악마다 바뀌고, 무엇보다 입장 bgm 전통음악+kpop 적절히 섞여서 좋다...! ",2021-12-27
Still one of the best Olympics. ,2022-03-02
처음보는데..퍼포먼스도 좋지만,2021-12-27
Pyeongchang 2018 was just amazing. All the things looked so beautiful. Especially the performance and festival.. I miss the spirit now,2022-03-02
I really love the beginning of the ceremony with the bell,2021-12-27
Amazing opening ceremony ,2021-12-27
The current ,2022-03-02
"2010 Vancouver, 2014 Sochi, 2018 Pyeongchang",2022-03-02
"I have no clue which I should chose…Pyeongchang, the unified Korea under Yuna’s graceful gaze, or Torino, under the always iconic voice of Luciano Pavarotti (Rest in peace, grandmaster).",2022-03-02
The Queen Yuna Kim - goosebumps. Pyeongchang 2018 ,2022-03-02
Queen Yuna and two Koreas marching together was the best Olympic spirit!!! And the Opening Ceremony was very liberal and peaceful.,2022-03-02
2018 Pyung Chang was awesome,2022-03-02
The two Korea marching togeter was so beautiful to see. And Queen Yuna lighting the calderon was well diserved.,2022-03-02
"Yuna helped secure Pyeongchang's bid to host the Olympics, so her lighting the torch was truly special.",2022-03-02
both 2014 & 2018 are my top votes! amazing performances and true joy,2022-03-02
🥇,2022-03-02
"you should post more of these opening ceremony moments for both summer and winter , just iconic to see them !",2022-03-02
Luciano Pavarotti's will always be one of the most beautiful voices to have existed.,2022-03-02
PyeongChang 2018 was nice! Looking  forward to Beijing 2022 great show tonight ,2022-03-02
"평창 남북한이 한 팀으로 동시 입장장면이 가장 아름다운 장면중에 하나로 들어갔네요. 다시보니 뭉클하고, 연느님이 썸네일이라 흐뭇하네요.",2022-03-02
Pyeongchang is super cool ceremony eva !~,2022-03-02
So beautiful! I just love the Olympics! How else can we get such amazing people as Queen Yuna?,2022-03-02
I still cry when I see that beautiful Korean Entrance.,2022-03-02
"Vancouver had the greatest Winter Games Opening Ceremony. Even though our country wasn't part of that Games, we really felt welcomed. It has the warmth and a heart and it feels like home away from home.",2022-03-02
Timeless QUEEN YUNA KIM.,2022-03-02
"Above all, I think the volunteers who contributed this stage a lot are really amazing.",2022-04-01
What is your favorite Olympic moment of all time? Let us know in the comments below and it might be featured in the next ,2020-12-27
"If you can understand madarian you will amaze even more on what Lang Ping's coaching... Probably due to her own player experience, she did not fuzz or blame the players at all at any time.  instead, she always gave a very specific instructions (e.g., which opponent player had what habit or what was the next attack she preferred her team to do).  She picked and trained every player by herself so her players were so confident with her.   Absolutely the best volleyball coach in decades!!!",2020-12-27
"As a person learning mandarin (5th year learning it), Lang Ping's coaching is pretty amazing. She doesn't blame them for possible mistakes they made, juts gives them instructions and coaching to make them even better. I love her!!",2021-12-27
"Lan Ping is simply amazing as a coach. She knew how to deal with these young ladies, plus the fact that she's really wise and strategic. So deserved!",2020-12-27
"Looking back here, Zhu shows no fear. I think it is because she's really young at this time so her condition was fresh and eager to contibute just like the opponent's Boskovic. The difference is that Zhu was more stable and controls her error (almost no error).",2021-12-27
