,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
10,The relief is: Maybe the Developing countries will benefit in this competition,3,joy,0.9337125420570374,0.003614048007875681,0.0040658642537891865,0.000774246349465102,0.9337125420570374,0.044464949518442154,0.006431999616324902,0.006936426740139723
11,I live in NYC and I can confidently say that infrastructure here and most other cities in the US is crumbling. Why would anyone look at us for infrastructure projects?,4,neutral,0.37244272232055664,0.17776638269424438,0.06864558160305023,0.07884936034679413,0.004019791726022959,0.37244272232055664,0.127835214138031,0.1704409271478653
12,"I read that about that Sri Lanka port, the loan was restructured dozens of times before they decide the 99year lease is best option",4,neutral,0.911871075630188,0.010324331931769848,0.00999796949326992,0.003679604036733508,0.002245215466246009,0.911871075630188,0.0065477704629302025,0.0553339347243309
13,"BRI has evolved into a vision participating nations can achieve together, foster further collaboration between Asia and Europe.",4,neutral,0.866096556186676,0.01302622351795435,0.008980917744338512,0.004405451938509941,0.09017196297645569,0.866096556186676,0.004645582754164934,0.012673290446400642
14,"At least the infrastructures are there, and  it is up the people to strive for",4,neutral,0.8407670855522156,0.011428446508944035,0.006030017510056496,0.005690644960850477,0.10909684002399445,0.8407670855522156,0.01731139048933983,0.009675555862486362
15,This was a really great analysis of the Belt & Road Initiative from several perspectives. Thank you!,3,joy,0.8593770265579224,0.0049121486954391,0.00237288954667747,0.0013463315553963184,0.8593770265579224,0.0636647567152977,0.00256182043813169,0.06576509028673172
16,Very informative. China’s Belt & Road is of course meant to increase China’s global influence. It comes with conditions but why do we think that IMF and World Bank conditions is any less severe on less developed countries &/or they are not equally prone to corruption?,4,neutral,0.7556016445159912,0.04305003210902214,0.14634349942207336,0.011628424748778343,0.0035473115276545286,0.7556016445159912,0.017147395759820938,0.022681759670376778
17,Missing the fact that China also use this project to study health care and diseases along the way so it is not just transportation but for them to learn and be better prepared health care system.,4,neutral,0.964515209197998,0.004946280736476183,0.008398286066949368,0.0013374894624575973,0.0024047743063420057,0.964515209197998,0.007445761933922768,0.010952178388834
18,Maybe 6 years ago I saw the highway built with Chinese funds in Ethiopia. These massive projects and the will to do them is impressive. America is still doing environmental analysis on the keystone pipeline and mulling it over.,6,surprise,0.7507422566413879,0.010885207913815975,0.009606702253222466,0.0074519081972539425,0.012459838762879372,0.20673821866512299,0.002115907846018672,0.7507422566413879
19,What a great idea ,2,fear,0.4296210706233978,0.046629756689071655,0.024308640509843826,0.4296210706233978,0.3276798129081726,0.08287258446216583,0.012318704277276993,0.07656938582658768
20,"I literally laughed at her last statement :"" what started as one belt one road  is now one belt to many road blocks."" savage Palki.",4,neutral,0.33194783329963684,0.2319081872701645,0.025932693853974342,0.0032443245872855186,0.25609904527664185,0.33194783329963684,0.018005145713686943,0.13286273181438446
21,The contents on this channel is amazing. ,3,joy,0.44626784324645996,0.011978071182966232,0.023131825029850006,0.03323304280638695,0.44626784324645996,0.21480585634708405,0.0055512674152851105,0.2650320827960968
22,"Amazing news reportage, and Palki is definitely the epitome of how an ideal journalist should be like. Absolutely loved this video and WION's content is always so rich!",3,joy,0.5339009165763855,0.0066313170827925205,0.0020316732116043568,0.0036761316005140543,0.5339009165763855,0.08656854182481766,0.003270095447078347,0.36392131447792053
23,"With the monopolization of news and media in the United States, I find such thorough reporting wonderful. By facts over rhetoric I find this both informative and entertaining.",3,joy,0.9632760286331177,0.0016124704852700233,0.005000952631235123,0.001375121995806694,0.9632760286331177,0.0228266641497612,0.001686104922555387,0.004222562070935965
24,"from Canada: i love your reporting and i thank you for it. you are reinforcing what those of us in the west, despite our education and access to information, refuse to report on or consider what it all means for our collective future.",3,joy,0.9183408617973328,0.031689148396253586,0.004086287226527929,0.001380301546305418,0.9183408617973328,0.018455808982253075,0.016006164252758026,0.010041482746601105
25,"""Power tends to corrupt; absolute power corrupts absolutely"" - Lord Acton",1,disgust,0.6015899181365967,0.29003170132637024,0.6015899181365967,0.024730799719691277,0.0017674746923148632,0.05606231838464737,0.022354193031787872,0.003463539993390441
26,"""One belt, many roadblocks"" Palki you are a 'wordsmith' unparalleled . Excellent reporting as usual.  But you did not mention our human natures. Aggrieved peoples eventually find a way/s to defeat their oppressors. CCP obviously are not historical scholars, look at what happened to the British Empire ; the United States fought and got independence as did Gandhi for India. A model I forsee for the CCP is the Mau Mau rebellion in Kenya - a violent whiplash of emotions directed to the British colonials. There are many more examples of colonial powers being overthrown by their downtrodden subjects. ""To be born free is an accident. To live free a responsibility. To die free is an obligation"" Anonymous.",0,anger,0.8227847814559937,0.8227847814559937,0.03725888580083847,0.016319753602147102,0.001831609639339149,0.11126194894313812,0.004887127783149481,0.005655921995639801
27,Never seen such information with plenty of research done by this team. Kudos to you. Keep up the good work.,4,neutral,0.7890276908874512,0.022548571228981018,0.014514823444187641,0.0009908870561048388,0.08291555941104889,0.7890276908874512,0.007036974653601646,0.08296552300453186
28,"I love this channel. recently, I started watch this channel. I love the palki mam traditional indian culture and easily speaks English fluency pronounciation charming and understood very easily... It will be very helpful for me... This channel is very much better rather than other news channels....jai hind",3,joy,0.9715734124183655,0.0024723198730498552,0.0009677400812506676,0.0005235220305621624,0.9715734124183655,0.011784345842897892,0.0032050006557255983,0.00947369821369648
29,"""Mrs. Palki Sharma's"" work is needed to be appreciated, within a span of a month, I am able to understand the geopolitics at least around India and in some parts of the world. Thanks to WION and CRUX, optimal and crisp news.",4,neutral,0.6690201163291931,0.01239834539592266,0.0060767726972699165,0.001959884073585272,0.24951651692390442,0.6690201163291931,0.007211228832602501,0.05381716787815094
30,Shockingly Italy was the first European nation to sign on with China. The environmental damage done through these projects is devastating. Please talk about that. Great reporting thank you.,6,surprise,0.884840190410614,0.006242645438760519,0.010234419256448746,0.07157345861196518,0.0028768088668584824,0.011729552410542965,0.01250288262963295,0.884840190410614
31,I can just imagine how proud Palki's parent will be of such an absolute amazing person she became. What a breathe of fresh air watching this channel. Amazing journalism. Keep it up . The world world is watching you now.,6,surprise,0.5820202231407166,0.011724518612027168,0.00434891926124692,0.004373267758637667,0.2428210973739624,0.1503877341747284,0.004324313253164291,0.5820202231407166
32,"À wonderfully erudite young woman.  Clear, understandable explanation of a complex subject.  We here in the Pacific have numerous examples of island nations indebtedness to China’s so called benevolent development aid.  This program should be on all school curriculum to educate our kids about what is really happening.",4,neutral,0.6490468382835388,0.028032705187797546,0.0869111567735672,0.039304230362176895,0.1744724065065384,0.6490468382835388,0.01499292254447937,0.007239856291562319
33,Why didn't I discovered this news channel earlier?? You guys are doing an amazing job by not putting shit into people's head like most of the mainstream media is doing. Just please stick to it. ,4,neutral,0.4315831959247589,0.15284237265586853,0.19838716089725494,0.03904653713107109,0.007325601298362017,0.4315831959247589,0.0045415060594677925,0.16627369821071625
34,This is what we call journalism. Thanks for the in-depth analysis.,4,neutral,0.5949630737304688,0.008557269349694252,0.0058240690268576145,0.0014519189717248082,0.3323040008544922,0.5949630737304688,0.00510844262316823,0.0517912320792675
35,"The US is playing Call of Duty, while China is playing CIVILIZATION",4,neutral,0.9654920697212219,0.004985204432159662,0.005728073883801699,0.0012398908147588372,0.007715133018791676,0.9654920697212219,0.006418321747332811,0.008421308360993862
36,BRILLIANT! I understand now completely - excellent report I have downloaded and will use it in my classes. You have done every one who does not want to live as slaves under China supported by the Tech Elite a huge service,4,neutral,0.6131556034088135,0.06996040046215057,0.010923875495791435,0.00291868532076478,0.11361955851316452,0.6131556034088135,0.010052066296339035,0.17936983704566956
37,I love Gravitas and the reporter here. She is unafraid to take on any tough issue. Best reporting on the internet.,3,joy,0.6351890563964844,0.00687552522867918,0.005224918946623802,0.2309914380311966,0.6351890563964844,0.10811228305101395,0.008271557278931141,0.00533514516428113
38,"As usual, you're immaculate in your analysis and surgical precision in your presentation. So far, I haven't heard any journalist with such a precision. Hats off to your journalism and presentation Ms. Palki... Please keep up the good work. You're awesome",4,neutral,0.48273247480392456,0.013856332749128342,0.024696331471204758,0.004243364091962576,0.41349586844444275,0.48273247480392456,0.0044964393600821495,0.056479115039110184
39,We got to make this channel popular. I'm sick of biased Western media.,1,disgust,0.4663255512714386,0.03497539088129997,0.4663255512714386,0.026122136041522026,0.004048546310514212,0.2792115807533264,0.1744389533996582,0.01487777940928936
40,"Thanks as always for watching :D See new videos early, participate in exclusive Q&As, and more!",3,joy,0.6897302269935608,0.007150139193981886,0.002310842974111438,0.0011636910494416952,0.6897302269935608,0.23425620794296265,0.007540830876678228,0.05784804746508598
41,You left out an important political aspect. China imports and exports a lot of material and products by sea but the problem with that is that those shipping lanes have to pass through or near countries that are allied with the US which makes the Chinese economy vulnerable to a naval blockade. The Belt and Road initiative can decrease the reliance of the chinese economy on those shipping lanes.,4,neutral,0.7276875376701355,0.033472031354904175,0.05523223429918289,0.13955779373645782,0.004978688899427652,0.7276875376701355,0.028566647320985794,0.010505042970180511
42,I love this channel because you use logic rather than emotion to judge one's action. This is 1 of the few videos from western countries don't use fear on subject related to China.,4,neutral,0.48165854811668396,0.018787458539009094,0.011572469025850296,0.1354268342256546,0.33625560998916626,0.48165854811668396,0.005718081258237362,0.010581053793430328
43,Without infrastructure poor countries remain in a Poverty Trap of stagnation. Infrastructure is the essential platform for countries to grow and modernize.,5,sadness,0.5706608295440674,0.01963753253221512,0.08089462667703629,0.05910399183630943,0.002758198883384466,0.26159095764160156,0.5706608295440674,0.005353867541998625
44,"It was Sri Lanka that proposed handing over control of Hambantota Port to China - it wasn't China's idea. Sri Lanka, having just lived through a Civil War, had an extremely high debt to GDP ratio too.",4,neutral,0.8558333516120911,0.02064715512096882,0.020543240010738373,0.006720391102135181,0.004173118621110916,0.8558333516120911,0.006018538028001785,0.08606419712305069
45,"It seems unlikely China would want the borrowers to default on their debt, as it may discourage new countries from entering the BRI and makes the existing countries wary of China's inluence. However, in certain instances, where assets of strategic importance are in play (Kenya, Mombasa) it does appear that China is glad to have gained a new foothold in the region, regardless of the bad press it may attract.",3,joy,0.9223878979682922,0.002405951963737607,0.003021697048097849,0.001161217805929482,0.9223878979682922,0.06260563433170319,0.0026827070396393538,0.00573491957038641
46,"Amazing analysis, just as always! Would love to see your videos on the economies of Poland and Denmark. Both were among the most interesting countries in Europe before this crisis but now, given they both seem to have been much less affected than other European nations, they might come out as even bigger players.",6,surprise,0.595767617225647,0.0056495810858905315,0.0013905002269893885,0.00269321515224874,0.27582359313964844,0.11327087879180908,0.005404634866863489,0.595767617225647
47,3 general aims of the Belt and Road initiative. ,4,neutral,0.5902320742607117,0.11874620616436005,0.06956055015325546,0.15502385795116425,0.024376995861530304,0.5902320742607117,0.0350496768951416,0.007010639179497957
48,"There's another aspect you didn't cover in this video as it was geared primarily towards the economic component. The military and political application of these roads and ports, not necessarily for the purpose of creating invasion corridors. But, if China forecloses on a port and decides to say, I don't know station naval assets there suddenly they wield massive influence over said nation, even more so than their prior economic influence. They're quietly performing their own form of colonization in Africa as we discuss this.",4,neutral,0.8602272868156433,0.026133593171834946,0.046650324016809464,0.011433571577072144,0.0017902370309457183,0.8602272868156433,0.0035474628675729036,0.050217531621456146
49,I would have studied economics in high schoool if my teachers had presented it such a way as you do to make it interesting. Great channel,4,neutral,0.8765245079994202,0.00705765699967742,0.005608854349702597,0.0013369929511100054,0.04713263362646103,0.8765245079994202,0.004213916603475809,0.05812545865774155
50,I really appreciate the non-biased approach you take when talking about China.,3,joy,0.9027043581008911,0.004280771594494581,0.004119487479329109,0.0005772793665528297,0.9027043581008911,0.06292251497507095,0.0037893750704824924,0.021606262773275375
51,Belt and road initiative offers to the world a much easier access to materials and commercial goods to countries that lack infrastructure to do so.. its a win-win situation for all.. but ofc the country who is in charge for this kind mega-projects might benefit the most.. (there is no free breakfast),3,joy,0.3377365469932556,0.009651334024965763,0.0034667658619582653,0.002399801043793559,0.3377365469932556,0.23447193205356598,0.16001462936401367,0.25225892663002014
52,"This video does much to explain the economic implication of the OBOR project as a whole; I would be interested to see the same cost/benefit analysis applied to each individual development of the project on its own. The first would be the non-commercial uses of foreclosed ports, which are consistently becoming PRC overseas military bases, the most famous being the base in Djibouti by the Gulf of Aden. It would bring clarity to find the the extent to which this base stands to protect ships from piracy, versus the current cost of piracy on PRC shipping.",4,neutral,0.9601871371269226,0.006670445203781128,0.009892679750919342,0.002324734814465046,0.007229267153888941,0.9601871371269226,0.002162609715014696,0.011533116921782494
53,Europe: tries to colonise china,4,neutral,0.42854130268096924,0.14281947910785675,0.1924072951078415,0.017138322815299034,0.003645224031060934,0.42854130268096924,0.1884135752916336,0.02703479677438736
54,"You missed the most critical goal of China's BRI: National security.   >90% of China trade and oil import goes via sea, and China's navy is not powerful enough to protect it from US navy, so China goes west to connect to EuroAsia continent which US won't be easy to block.  All other goals are secondary.",4,neutral,0.5707770586013794,0.06905386596918106,0.032649148255586624,0.11664386093616486,0.01814259961247444,0.5707770586013794,0.1447497457265854,0.047983668744564056
55,"Nice Job, EE! This is quite a balanced perspective. The ""debt trap"" rhetoric portrays African leaders as somehow unable to see the risks involved in the loan arrangements. This underlying assumption reflects Western prejudices and stereotypes against Africans.",4,neutral,0.7304257750511169,0.030247917398810387,0.04247651621699333,0.007232418283820152,0.15682180225849152,0.7304257750511169,0.007464004680514336,0.025331560522317886
56,"it's good to see an Australian channel making objective contents from economic prospective; so much better than those politicians, or so called news website and TV shows, where they never tell you the whole story and only say what they want you to see and hear",3,joy,0.9716053009033203,0.001687265350483358,0.002020553220063448,0.0005111856735311449,0.9716053009033203,0.011912303045392036,0.0015750500606372952,0.010688330978155136
57,"I believe they welcome any outcome when it is related to the debts. If they pay, it's good for them, if they don't, they can make it good for them as well. I believe that to do this at this scale, you are not worried about the outcome. You focus on making it work.",4,neutral,0.8712539672851562,0.03642785921692848,0.010898265056312084,0.009611222892999649,0.06154504418373108,0.8712539672851562,0.003603197867050767,0.006660422310233116
58,"I liked your analysis, I would've explored the market potential in developing countries are tremendous. If these nations don't screw up internally (ie; civil war), and just grow a few % per year, their combined new found wealth in purchasing power is incalculable. ",4,neutral,0.7572945356369019,0.08884688466787338,0.07021898776292801,0.040272776037454605,0.019784772768616676,0.7572945356369019,0.0060769254341721535,0.01750521920621395
59,"""Nefarious"" is a relative term. You are right that this is mostly a economic endeavor aimed at creating a economic sphere revolving around China, and that definitely ruffles feathers in Moscow, Washington, and New Delhi. However, there are some relatively minor strings attached as always. China has a habit of placing punitive economic measures on nations that aggravate them, again nothing unique there. What I and others what to know is ""does the economic sphere lead to military interventionism?"": history and current events point to yes but we don't know.",0,anger,0.7146812081336975,0.7146812081336975,0.14382188022136688,0.0036794242914766073,0.001838209107518196,0.11933007836341858,0.011347167193889618,0.005301953759044409
60,"""Critics argue this will enhance China's geopolitical influence.""",4,neutral,0.5310862064361572,0.23063112795352936,0.1631055623292923,0.016552196815609932,0.035418640822172165,0.5310862064361572,0.0129316421225667,0.010274730622768402
61,"Nice video, simple and accurate. No biased and excessive content.",4,neutral,0.7575411796569824,0.024945219978690147,0.06899233907461166,0.0015512668760493398,0.12985548377037048,0.7575411796569824,0.009981503710150719,0.007132960949093103
62,"The most interesting component is the arctic Silk Road, linking China Russia and Scandinavia",4,neutral,0.7344589233398438,0.012893976643681526,0.0073945969343185425,0.023934701457619667,0.016071800142526627,0.7344589233398438,0.010148654691874981,0.1950974315404892
63,"Actually, there's a huge geographic benefit since Europe, Africa, and Asia are next to each other, also connected by land. It could be easier to expand trade route and others. ",4,neutral,0.8640170693397522,0.016035592183470726,0.03206554800271988,0.01401696540415287,0.05640612170100212,0.8640170693397522,0.004532515536993742,0.012926158495247364
64,"By no means are we (United States) wary of China's growing influence. That's what free enterprise does. In fact, we encourage it and we're not concerned about our standing. We do have concerns about them counterfeiting our products after they steal our technology but we wish china well and all we want is fair trade. No shame in that. Then both countries can grow & prosper.",4,neutral,0.6071618795394897,0.01875985972583294,0.011935051530599594,0.33112823963165283,0.014086291193962097,0.6071618795394897,0.010628778487443924,0.006299872882664204
65,Finally we have another superpower. No more 1 country dominates all. Having 2 buyers are better than one.,4,neutral,0.8616939187049866,0.006739040371030569,0.005703195463865995,0.0012367876479402184,0.021043507382273674,0.8616939187049866,0.005392960272729397,0.09819062799215317
66,Great enterprise.. Love from Bangladesh...,3,joy,0.6801590919494629,0.008700828067958355,0.005448739975690842,0.0019189895829185843,0.6801590919494629,0.18917007744312286,0.027041416615247726,0.08756083250045776
67,"You may wish to track and trace back to your superiors when and whom plus how the idea came up back in 2012. After being thought up in 2010 by the game Silkroad Online. But among is the idea to end poverty and war in Africa. We thought that war wasn't the way for global economy since everyone wants to profit and benefit. So the obvious solution was to raise the welfare of the continent. Now you know. This message was relayed by authorities and they get the credit. Whereas the original person who came up with the idea is hidden close and tightly wrapped up. Nothing, not a single credit goes to him. In fact, they covered everything up and make sure he looked mentally ill.",4,neutral,0.9334781765937805,0.015591122210025787,0.025397293269634247,0.0020383892115205526,0.003826433327049017,0.9334781765937805,0.008000079542398453,0.011668387800455093
68,Does anyone have any sources for the evidence placed above,4,neutral,0.9205390214920044,0.011381546035408974,0.0077533479779958725,0.004789179656654596,0.001729530980810523,0.9205390214920044,0.010486001148819923,0.043321337550878525
69,this is objective. It’s fact that some  countries are arguing about the BRI since the risk comes with opportunity. While it's a worth game to play,4,neutral,0.8168329000473022,0.0191342830657959,0.028084581717848778,0.004586065653711557,0.11866457760334015,0.8168329000473022,0.007464852184057236,0.005232824943959713
70,While I heard the United Kingdom and Germany have signed at the end of last year.,4,neutral,0.625167965888977,0.005167440045624971,0.003227559383958578,0.0036426358856260777,0.1586286425590515,0.625167965888977,0.016583476215600967,0.18758226931095123
71,thank you Mr.Mike,4,neutral,0.45584210753440857,0.007004321087151766,0.001456455560401082,0.002441617427393794,0.253436416387558,0.45584210753440857,0.021267129108309746,0.2585519552230835
72,"they are essentially repeating USSR's expansion to sieria and central asia....it ultimately bankrupted them with little to no benefit. the thing about sea is that you can scale up very easily to carry different loads and take different routes. you can't do this with land based transportation, so there is tremendous upfront cost to build infrastructures in countries with little to no benefit to China.",4,neutral,0.68309485912323,0.11635714769363403,0.09672758728265762,0.0075492048636078835,0.007859659381210804,0.68309485912323,0.042352404445409775,0.04605904966592789
73,Belt to tighten the debt for country under the planning road for $$$ better not join this belt buckle trapped ,2,fear,0.747687041759491,0.11365808546543121,0.016388341784477234,0.747687041759491,0.0028973198495805264,0.08462516963481903,0.030996767804026604,0.0037471801042556763
74,one ring to rule them all.... one road to make conquest easier.,4,neutral,0.8312265872955322,0.016940617933869362,0.003608821425586939,0.0040506841614842415,0.06241978332400322,0.8312265872955322,0.014306182973086834,0.06744730472564697
75,"I can’t tell if this video is biased to not, but it seems very neutral",4,neutral,0.7376469969749451,0.015399915166199207,0.19812892377376556,0.007043882738798857,0.014033231884241104,0.7376469969749451,0.014675713144242764,0.0130712715908885
76,You have to face a lot china...,4,neutral,0.5842280387878418,0.03497578203678131,0.18549104034900665,0.0505283921957016,0.006981453392654657,0.5842280387878418,0.08430247753858566,0.053492724895477295
77,"The US is playing Call of Duty, while China is playing CIVILIZATION",4,neutral,0.9654920697212219,0.004985204432159662,0.005728073883801699,0.0012398908147588372,0.007715133018791676,0.9654920697212219,0.006418321747332811,0.008421308360993862
78,"""Hide Your Strengths and Bite Your Time"" - very wise words for a national leader, who is clearly playing the long game.",4,neutral,0.8687053322792053,0.07449007779359818,0.02910168655216694,0.013907051645219326,0.004652649629861116,0.8687053322792053,0.004554064944386482,0.004589231684803963
79,"This reminds me of a book I've read called ""Proxima"" by Stephen Baxter. The synopsis of the book is that during the 22nd century, China is the largest economic superpower with the ""Chinese Economic Framework"" foreign policy described in the book. It also takes place in a time where they were the first country to put a man on Mars and have a near monopoly  on the solar system, spanning from Earth's orbit,Mars, the Asteroid Belt,and Jupiter. ",4,neutral,0.9217411875724792,0.01156595442444086,0.01709335669875145,0.012824514880776405,0.009263918735086918,0.9217411875724792,0.0028056257870048285,0.024705462157726288
80,"CNBC, please give Xin En some funding, so she can travel around the world like other presenters. It's not fair to her that other presenters can travel but she has to stay in Singapore",4,neutral,0.7291087508201599,0.03292721137404442,0.02986203320324421,0.004886021837592125,0.00532357394695282,0.7291087508201599,0.17420077323913574,0.023691609501838684
81,Building infrastructure is generally good...,4,neutral,0.5266513824462891,0.010364825837314129,0.02285325527191162,0.0023770949337631464,0.41410180926322937,0.5266513824462891,0.010987897403538227,0.012663659639656544
82,"I think the Belt & Road is a great idea, it’s very important for this project to be transparent for the citizens of the nations involved.",4,neutral,0.8915835618972778,0.010873880237340927,0.016838155686855316,0.005361869931221008,0.06018202006816864,0.8915835618972778,0.004738064017146826,0.010422512888908386
83,Great reporting. I found the information very informative thus provided in this video.,3,joy,0.8720746040344238,0.0054012187756598,0.01441161334514618,0.002279912354424596,0.8720746040344238,0.08874054253101349,0.004441989120095968,0.012650121003389359
84,"A little check and balance is fine, but China is helping their economy in the longer run for sure. It is a win-win, you can't lose on building roads. Roads allow development and trade.",3,joy,0.5103483200073242,0.011066822335124016,0.01551357377320528,0.0018351030303165317,0.5103483200073242,0.44590532779693604,0.006005766335874796,0.009324970655143261
85,"Perhaps China could pursue its military intentions in other ports, but not Hambantota. Sri Lanka specifically negotiated that it was not to be used for military purposes.",4,neutral,0.9216252565383911,0.018076153472065926,0.028167858719825745,0.008298136293888092,0.0037519808392971754,0.9216252565383911,0.013484508730471134,0.006596125662326813
86,I really appreciate this video! This is truly good and truthful!,3,joy,0.9503553509712219,0.0025912995915859938,0.0010665139416232705,0.0003376984386704862,0.9503553509712219,0.014644771814346313,0.0027263902593404055,0.028277946636080742
87,Anyone know where Xin En Lee went? All her social media has been inactive for a few years. She's such a great host and really enjoy her presentations. Hopes she's doing well ,3,joy,0.5012364387512207,0.008138001896440983,0.00626541068777442,0.004276210907846689,0.5012364387512207,0.46267879009246826,0.008925560861825943,0.008479531854391098
88,Very very well explained,3,joy,0.6259738206863403,0.004408662673085928,0.0033869703765958548,0.0017420838121324778,0.6259738206863403,0.3116981089115143,0.006090744398534298,0.046699654310941696
89,"Since the general aim for every human on earth is to grow and infrastructure and trade are the primary means for any kind of growth, I find it a net good deal considering all possible pros and cons it could bring to everyone.",3,joy,0.7328341007232666,0.006217269226908684,0.011049218475818634,0.0010274560190737247,0.7328341007232666,0.237294003367424,0.0036569079384207726,0.007921076379716396
90,They learned their lessons very well,4,neutral,0.9306498765945435,0.009995834901928902,0.014786847867071629,0.0014404134126380086,0.03418098762631416,0.9306498765945435,0.00452070077881217,0.004425292368978262
91,tweet:  Thanks for delineating in bits and pieces the belt and road initiative programs.,3,joy,0.719578742980957,0.0050718896090984344,0.0014403912937268615,0.0011706106597557664,0.719578742980957,0.10362953692674637,0.02033282071352005,0.1487760692834854
92,I believe that time will tell if the benefits outweigh the losses for those countries.,4,neutral,0.931869626045227,0.007814270444214344,0.007253582589328289,0.0036224976647645235,0.02058957889676094,0.931869626045227,0.006167004816234112,0.022683465853333473
93,Please make a series of videos on following:,4,neutral,0.969153881072998,0.004351910203695297,0.0072423662059009075,0.005213972181081772,0.0020590373314917088,0.969153881072998,0.005430718418210745,0.006548126693814993
94,"Given china is mainly a export oriented economy, China feels strongly that it needs a secure and diversified trading routes which  it lacks now and it current trading route can be easily cut off by the US especially in areas like the south china sea and Singapore straits in event there is any trade or oil embargo impose on China. So this really explain why China desperately wants to create new alternative trading routes through the one belt one road to improve connectivity between countries so that it will be able to safely transport its good across.",3,joy,0.42304015159606934,0.04133756086230278,0.006623906083405018,0.06784259527921677,0.42304015159606934,0.40699559450149536,0.04042832553386688,0.013731962069869041
95,2:06,4,neutral,0.8451814651489258,0.00652339356020093,0.008679394610226154,0.011140399612486362,0.013954219408333302,0.8451814651489258,0.029943108558654785,0.0845780149102211
96,China needs to leverage a long term approach. Trade routes need to be economic to make economic sense.,4,neutral,0.9104146957397461,0.013829521834850311,0.037687454372644424,0.010485080070793629,0.0031306860037148,0.9104146957397461,0.012021861970424652,0.01243067067116499
97,:_rocketship:,4,neutral,0.5335547924041748,0.005148537922650576,0.0011195627739652991,0.0025310071650892496,0.08989817649126053,0.5335547924041748,0.03823790326714516,0.32951000332832336
98,“Hire Chinese workers who ultimately take wages home.” It’s the small things that matter folks,4,neutral,0.9200264811515808,0.023402955383062363,0.039016399532556534,0.0035032154992222786,0.006021935027092695,0.9200264811515808,0.00467345118522644,0.003355613676831126
99,"""The US decided the port would not be economically viable...""",5,sadness,0.6777690052986145,0.0443730354309082,0.06220683082938194,0.04635785147547722,0.004369963891804218,0.14876407384872437,0.6777690052986145,0.01615922525525093
